,ds,yhat,yhat_lower,yhat_upper
0,2020-04-01,29667.790735196046,27492.990254246397,31998.957960626805
1,2020-04-02,32884.811523748074,30659.364054443115,35248.81600431578
2,2020-04-03,34475.752332375436,32272.58636503722,36779.07762148856
3,2020-04-04,32877.86943846184,30674.542869133715,35097.87971394536
4,2020-04-05,28302.977727015885,26093.144879136344,30495.2574574002
5,2020-04-06,26937.201534183823,24672.371997242015,29240.79521901513
6,2020-04-07,28496.56469294198,26234.99143813763,30811.9644232883
7,2020-04-08,28941.660797251257,26568.072491068644,31294.907881434854
8,2020-04-09,32158.57047658693,30001.44665637926,34460.94189907804
9,2020-04-10,33749.400179146076,31485.262881649665,35941.52703175764
10,2020-04-11,32151.404431330913,29857.317245244405,34434.588139606145
11,2020-04-12,27576.39986930006,25251.004024193684,29857.497676446237
12,2020-04-13,26210.510824297307,24002.08727799006,28505.18595171872
13,2020-04-14,27769.720561208906,25612.320146177557,30085.17519846914
14,2020-04-15,28214.632553051968,25845.28387674635,30406.56233878617
15,2020-04-16,31431.46922342432,29101.767253025697,33599.369811876444
16,2020-04-17,33022.22083305402,30773.124050557784,35340.382198947766
17,2020-04-18,31424.129767074715,29166.49345038075,33806.36395039084
18,2020-04-19,26849.029887980087,24646.691109539344,29088.628519319038
19,2020-04-20,25482.660609676488,23186.81293717683,27608.66527600151
20,2020-04-21,27041.37265479947,24792.194403523685,29320.168795263005
21,2020-04-22,27485.81764521797,25156.13872675556,29695.378596613366
22,2020-04-23,30701.52827595449,28437.562636086175,32860.16612725113
23,2020-04-24,32290.70460151336,30150.22430845201,34534.114365524554
24,2020-04-25,30691.05722451493,28463.020956466902,32967.12307927021
25,2020-04-26,25956.53920184183,23693.973157192246,28220.97730538233
26,2020-04-27,24430.70978107007,22099.161792945575,26625.933521323033
27,2020-04-28,25830.01971188132,23668.852558588806,28201.65123077364
28,2020-04-29,26114.94932068266,23770.55664947636,28604.34552988915
29,2020-04-30,29171.665265358894,26870.128973728526,31445.908171210078
30,2020-05-01,30602.301233271737,28292.43024734328,33009.78777430697
31,2020-05-02,28843.894774221,26671.296924427697,31025.650186017476
32,2020-05-03,24108.40138558155,21785.899176842562,26311.771345970734
33,2020-05-04,22582.023513989112,20270.39569142073,24914.136625752337
34,2020-05-05,23980.78499008034,21673.062219396386,26171.287042775897
35,2020-05-06,24265.279410289048,21835.323260357403,26437.471076145528
36,2020-05-07,27321.698509025773,25031.75914366754,29552.633953915814
37,2020-05-08,28752.037632961903,26409.271156274714,31112.580217933766
38,2020-05-09,26993.553050209463,24584.96186501884,29253.094758354688
39,2020-05-10,22258.05965431297,20115.469712597172,24685.686516242997
40,2020-05-11,20731.681775468307,18435.740977276568,22912.78737701491
41,2020-05-12,22130.443248201052,19785.688317401444,24541.88240829491
42,2020-05-13,22414.93766622116,20210.262988230526,24810.17061159098
43,2020-05-14,25471.35676278209,23164.865015162126,27896.079846437216
44,2020-05-15,26901.69588256671,24864.760350400487,29251.02664904283
45,2020-05-16,25143.21129980731,22898.732242526163,27557.35554105301
46,2020-05-17,20407.717903912384,18228.95520560184,22617.2308625542
47,2020-05-18,18881.340025066795,16578.819143260145,20885.2515491785
48,2020-05-19,20280.101497804466,18061.55777502773,22629.439805148373
49,2020-05-20,20564.595915826147,18179.5405634658,22785.86151105739
50,2020-05-21,23621.015012388365,21389.315482505717,25917.344607514693
51,2020-05-22,25051.354132171502,22841.729682843878,27401.091237308356
52,2020-05-23,23292.869549410152,20983.89139812853,25571.167752539623
53,2020-05-24,18557.37615352766,16455.7250057368,20752.59199638621
54,2020-05-25,17030.998274673326,14614.131389785054,19168.409119893222
55,2020-05-26,18429.759747409797,16101.420342574978,20715.44962645296
56,2020-05-27,18714.25416543114,16384.452898689287,20830.473112383297
57,2020-05-28,21770.673261981894,19650.48738911001,24011.614320109264
